Date,Home Team,Away Team,Home Score,Away Score,Play-off Game?,Home Odds,Draw Odds,Away Odds,Bookmakers Surveyed
2019-04-26,Sunwolves,Highlanders,0,52,,3.63,25.54,1.29,10
2019-04-27,Hurricanes,Chiefs,47,19,,1.22,26.53,4.27,10
2019-04-27,Waratahs,Sharks,15,23,,1.4,23.24,3.0,10
2019-04-27,Stormers,Bulls,24,23,,1.72,20.27,2.15,10
2019-04-27,Jaguares,Brumbies,20,15,,1.53,22.3,2.54,10
2019-04-19,Chiefs,Lions,17,23,,1.45,23.84,2.81,10
2019-04-19,Sunwolves,Hurricanes,23,29,,5.51,31.98,1.14,10
2019-04-19,Sharks,Reds,14,21,,1.2,28.26,4.63,10
2019-04-20,Highlanders,Blues,24,12,,1.69,24.61,2.18,10
2019-04-20,Waratahs,Rebels,23,20,,1.95,23.37,1.88,10
2019-04-20,Stormers,Brumbies,17,19,,1.36,23.4,3.23,10
2019-12-04,Crusaders,Highlanders,43,17,,1.14,29.5,5.64,10
2019-12-04,Rebels,Stormers,24,41,,1.24,26.45,4.11,10
2019-04-13,Chiefs,Blues,33,29,,1.49,22.7,2.67,10
2019-04-13,Brumbies,Lions,31,20,,1.59,22.39,2.38,10
2019-04-13,Sharks,Jaguares,17,51,,1.35,23.71,3.25,10
2019-04-13,Bulls,Reds,32,17,,1.16,31.04,5.0,10
2019-05-04,Highlanders,Hurricanes,28,31,,2.22,21.36,1.68,10
2019-05-04,Reds,Stormers,24,12,,1.92,21.36,1.9,10
2019-05-04,Lions,Sharks,5,42,,1.38,22.93,3.08,10
2019-06-04,Crusaders,Brumbies,36,14,,1.03,41.75,11.32,10
2019-06-04,Blues,Waratahs,32,29,,1.34,23.58,3.34,10
2019-06-04,Rebels,Sunwolves,42,15,,1.16,29.75,5.14,10
2019-06-04,Bulls,Jaguares,20,22,,1.44,22.8,2.81,10
2019-03-29,Hurricanes,Crusaders,8,32,,2.24,20.96,1.67,10
2019-03-29,Waratahs,Sunwolves,29,31,,1.11,33.52,6.23,10
2019-03-30,Blues,Stormers,24,9,,1.48,22.26,2.7,10
2019-03-30,Reds,Rebels,13,32,,2.18,21.71,1.7,10
2019-03-30,Sharks,Bulls,16,19,,1.6,20.94,2.38,10
2019-03-30,Jaguares,Chiefs,27,30,,2.19,21.5,1.7,10
2019-03-22,Blues,Highlanders,33,26,,2.35,22.03,1.61,10
2019-03-23,Hurricanes,Stormers,34,28,,1.13,33.52,5.96,10
2019-03-23,Waratahs,Crusaders,20,12,,4.71,28.69,1.19,10
2019-03-23,Sunwolves,Lions,24,37,,3.38,25.3,1.33,10
2019-03-23,Bulls,Chiefs,20,56,,1.4,23.32,3.03,10
2019-03-23,Sharks,Rebels,28,14,,1.41,23.32,2.92,10
2019-03-24,Reds,Brumbies,36,14,,2.33,21.57,1.63,10
2019-03-29,Hurricanes,Crusaders,8,32,,2.24,20.96,1.67,10
2019-03-29,Waratahs,Sunwolves,29,31,,1.11,33.52,6.23,10
2019-03-30,Blues,Stormers,24,9,,1.48,22.26,2.7,10
2019-03-30,Reds,Rebels,13,32,,2.18,21.71,1.7,10
2019-03-30,Sharks,Bulls,16,19,,1.6,20.94,2.38,10
2019-03-30,Jaguares,Chiefs,27,30,,2.19,21.5,1.7,10
2019-03-22,Blues,Highlanders,33,26,,2.35,22.03,1.61,10
2019-03-23,Hurricanes,Stormers,34,28,,1.13,33.52,5.96,10
2019-03-23,Waratahs,Crusaders,20,12,,4.71,28.69,1.19,10
2019-03-23,Sunwolves,Lions,24,37,,3.38,25.3,1.33,10
2019-03-23,Bulls,Chiefs,20,56,,1.4,23.32,3.03,10
2019-03-23,Sharks,Rebels,28,14,,1.41,23.32,2.92,10
2019-03-24,Reds,Brumbies,36,14,,2.33,21.57,1.63,10
2019-03-15,Chiefs,Hurricanes,23,23,,3.26,22.29,1.36,10
2019-03-15,Brumbies,Waratahs,19,13,,1.87,20.25,1.99,10
2019-03-15,Stormers,Jaguares,35,8,,1.4,22.13,3.05,10
2019-03-16,Sunwolves,Reds,31,34,,1.69,21.25,2.23,10
2019-03-16,Lions,Rebels,36,33,,1.36,22.83,3.19,10
2019-08-03,Hurricanes,Highlanders,25,22,,1.29,24.79,3.68,10
2019-08-03,Rebels,Brumbies,29,26,,1.57,21.82,2.46,10
2019-09-03,Crusaders,Chiefs,57,28,,1.15,30.29,5.49,10
2019-09-03,Blues,Sunwolves,28,20,,1.16,30.49,5.23,10
2019-09-03,Waratahs,Reds,28,17,,1.32,25.18,3.44,10
2019-09-03,Lions,Jaguares,47,39,,1.28,24.44,3.77,10
2019-09-03,Bulls,Sharks,37,14,,1.53,21.68,2.55,10
2019-02-03,Chiefs,Sunwolves,15,30,,1.03,47.53,12.11,10
2019-02-03,Reds,Crusaders,12,22,,5.27,31.67,1.15,10
2019-02-03,Lions,Bulls,12,30,,1.38,23.4,3.13,10
2019-02-03,Sharks,Stormers,11,16,,1.42,22.37,2.97,10
2019-02-03,Jaguares,Blues,23,19,,1.74,22.03,2.13,10
2019-01-03,Hurricanes,Brumbies,43,13,,1.2,28.34,4.6,10
2019-01-03,Rebels,Highlanders,24,19,,1.73,23.01,2.13,10
2019-02-24,Jaguares,Bulls,27,12,,1.96,21.21,1.86,10
2019-02-24,Stormers,Lions,19,17,,2.51,22.51,1.55,10
2019-02-24,Sharks,Blues,26,7,,1.84,21.62,1.99,10
2019-02-23,Brumbies,Chiefs,54,17,,3.28,23.69,1.35,10
2019-02-23,Crusaders,Hurricanes,38,22,,1.24,27.2,4.09,10
2019-02-23,Sunwolves,Waratahs,30,31,,8.04,45.63,1.07,10
2019-02-22,Highlanders,Reds,36,31,,1.06,41.96,8.02,10
2019-02-17,Jaguares,Lions,16,25,,2.08,20.39,1.78,10
2019-02-17,Bulls,Stormers,40,3,,1.6,20.91,2.37,10
2019-02-16,Sunwolves,Sharks,10,45,,3.95,25.88,1.25,10
2019-02-16,Waratahs,Hurricanes,19,20,,3.0,22.73,1.4,10
2019-02-16,Blues,Crusaders,22,24,,3.22,22.48,1.36,10
2019-02-15,Brumbies,Rebels,27,34,,1.5,22.34,2.65,10
2019-02-15,Chiefs,Highlanders,27,30,,1.99,21.19,1.87,10
2018-04-08,Crusaders,Lions,37,18,Y,1.1,35.98,7.2,10
2018-07-28,Lions,Waratahs,44,26,Y,1.23,28.87,4.22,10
2018-07-28,Crusaders,Hurricanes,30,12,Y,1.29,23.42,3.62,10
2018-07-21,Lions,Jaguares,40,23,Y,1.25,25.32,3.95,10
2018-07-21,Waratahs,Highlanders,30,23,Y,2.29,21.05,1.65,10
2018-07-21,Crusaders,Sharks,40,10,Y,1.04,47.5,9.83,10
2018-07-20,Hurricanes,Chiefs,32,31,Y,1.52,21.1,2.61,10
2018-07-14,Sharks,Jaguares,20,10,,1.31,21.96,3.55,10
2018-07-14,Lions,Bulls,38,12,,1.13,31.95,6.0,10
2018-07-14,Waratahs,Brumbies,31,40,,1.38,22.12,3.22,10
2018-07-14,Crusaders,Blues,54,17,,1.1,37.22,7.16,10
2018-07-14,Highlanders,Rebels,43,37,,1.2,30.7,4.56,10
2018-07-13,Reds,Sunwolves,48,27,,1.25,26.56,4.09,10
2018-07-13,Chiefs,Hurricanes,28,24,,2.75,20.31,1.48,10
2018-07-07,Stormers,Sharks,27,16,,1.82,20.22,2.01,10
2018-07-07,Bulls,Jaguares,43,34,,1.82,20.73,2.01,10
2018-07-07,Waratahs,Sunwolves,77,25,,1.1,34.47,6.59,10
2018-07-07,Hurricanes,Blues,42,24,,1.15,30.55,5.19,10
2018-07-07,Chiefs,Brumbies,24,19,,1.14,31.36,5.42,10
2018-06-07,Reds,Rebels,37,23,,2.47,20.49,1.56,10
2018-06-07,Crusaders,Highlanders,45,22,,1.25,23.92,3.93,10
2018-06-30,Jaguares,Stormers,25,14,,1.36,23.5,3.26,10
2018-06-30,Sharks,Lions,31,24,,2.24,20.65,1.74,10
2018-06-30,Sunwolves,Bulls,42,37,,3.42,25.98,1.33,10
2018-06-30,Brumbies,Hurricanes,24,12,,3.97,28.19,1.26,10
2018-06-30,Highlanders,Chiefs,22,45,,1.57,22.7,2.48,10
2018-06-29,Rebels,Waratahs,26,31,,2.28,20.81,1.68,10
2018-06-29,Blues,Reds,39,16,,1.26,27.96,3.98,10
2018-03-06,Brumbies,Sunwolves,41,31,,1.01,47.68,15.67,10
2018-02-06,Reds,Waratahs,41,52,,2.93,24.16,1.42,10
2018-02-06,Chiefs,Crusaders,20,34,,2.6,22.52,1.53,10
2018-02-06,Blues,Rebels,10,20,,1.36,24.1,3.27,10
2018-01-06,Highlanders,Hurricanes,30,14,,2.42,22.72,1.59,10
2018-05-26,Stormers,Lions,23,26,,2.4,21.69,1.61,10
2018-05-26,Bulls,Brumbies,28,38,,1.26,25.64,3.9,10
2018-05-26,Reds,Highlanders,15,18,,3.67,24.95,1.29,10
2018-05-26,Chiefs,Waratahs,39,27,,1.27,25.43,3.89,10
2018-05-25,Jaguares,Sharks,29,13,,1.48,24.13,2.75,10
2018-05-25,Rebels,Sunwolves,40,13,,1.09,38.57,7.82,10
